"author";"review";"Date";"film";"language";"word_count"
"Zayyylmao";"IDF calling itself the most moral and disciplined army in the world as they're demolishing people's homes and schools, cutting their water, their electricity, arresting and shooting children and elderly people. They're not even ashamed, they're proud of it. Fifty years from now, people will watch this and ask, ""How did we let this happen?"" Then they'll shrug and move on. Just as people are doing now.";"20-02-2025";"No Other Land";"en";67
"Michael Glover Smith";"A documentary so important and so urgent that it feels inadequate to use the same adjectives to describe it that one might use when talking about other movies. Needless to say, this is invaluable for how it puts a human face on a struggle that might otherwise seem abstract to many viewers. Also, as much as I felt emotionally destroyed by it, there is hope to be found in its portrait of cross-cultural friendship (the Israeli journalist Yuval and the Palestinian activist Basel are two of the film’s co-directors in addition to being its subjects) as well as its faith in the power of images to affect social change. Everyone should see this.";"22-02-2025";"No Other Land";"en";113
"𝖏𝖚𝖑𝖊𝖘ִ‧☾";"5 stars feel pointless when ppl are literally dying. this is real, this is happening. watch it, share it, never stay silent. Palestine will be free 🇵🇸";"23-02-2025";"No Other Land";"en";27
"_movieslut";"I feel confident in saying I’ve never before had a movie trigger seven high heart rate notifications from my watch. ";"01-03-2025";"No Other Land";"en";20
"BigEaredBandit";"A sand grain sized glimpse of truth from a beach of suffering that is going unnoticed, I’m so happy they got to record and create this film this is such an important documentary and piece of cinema. Absolutely everyone needs to watch this. LET’S GO IT WOOOONNNN SO HAPPY FOR THEM.";"02-03-2025";"No Other Land";"en";51
"Calvin Kemph 🤠";"There’s no guidebook for this sort of thing. There are situations where the act of filmmaking itself is deeply courageous. No Other Land is one such act of resilient bravery. Filmed over four years (from 2019 to 2023), the documentary captures the Israeli occupation of Masafer Yatta, a collection of hamlets along Palestine’s West Bank. The events of the story surround the expulsion of generations of families, as their homes and lifetimes of memories are bulldozed to make way for a training ground for military tanks.";"05-03-2025";"No Other Land";"en";86
"ⓙ";"You cannot act upon what you cannot see. And we are plagued by dead language and dead stories that serve people whose aim is nothing short of a dead world. And it is not enough to stand against these dissemblers. There has to be something in you, something that hungers for clarity. And you will need that hunger, because if you follow that path, soon enough you will find yourself confronting not just their myths, not just their stories, but your own. ";"05-03-2025";"No Other Land";"en";82
"Ernad Fakić";"""...He's a journalist that wants to write about the demolitions. - But does anyone actually care to read about it? - Honestly, not many.""";"13-03-2025";"No Other Land";"en";24
"pain";"hard to watch - not just content wise but actually physically hard to find and then stream properly from canada/america. i ended up having to watch on my phone cause i couldn't get it on my tv but i did find a site that works: link id like to say its weird how an oscar winning documentary can be hidden from the western world like that, but unfortunately thats pretty on par";"17-07-2025";"No Other Land";"en";72
"Jogurt";"Forget that “I Have No Other Land” is a Hebrew song for peace in Israel. Forget that these Israeli policies were put in place because of terrorism. Forget that Palestinian leaders have rejected a two-state solution on many occasions, some of which included over 95% of the West Bank, which would have made the citizens of Masafer Yatta citizens in a Palestinian state.";"03-03-2025";"No Other Land";"en";63
